Town,Year,Crime Type,Measure Type,Variable,Value
Cornwall,2015,Total Crime,"Rate (per 100,000)",Crime Index,462.7
Coventry,2015,Total Crime,"Rate (per 100,000)",Crime Index,767.3
Cromwell,2015,Total Crime,"Rate (per 100,000)",Crime Index,2529.7
Danbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,1932.5
Darien,2015,Total Crime,"Rate (per 100,000)",Crime Index,1118.2
Deep River,2015,Total Crime,"Rate (per 100,000)",Crime Index,370.5
Derby,2015,Total Crime,"Rate (per 100,000)",Crime Index,3010.3
Durham,2015,Total Crime,"Rate (per 100,000)",Crime Index,329.4
East Granby,2015,Total Crime,"Rate (per 100,000)",Crime Index,900.2
East Haddam,2015,Total Crime,"Rate (per 100,000)",Crime Index,535.2
East Hampton,2015,Total Crime,"Rate (per 100,000)",Crime Index,653.9
East Hartford,2015,Total Crime,"Rate (per 100,000)",Crime Index,2471.6
East Haven,2015,Total Crime,"Rate (per 100,000)",Crime Index,2400.8
East Lyme,2015,Total Crime,"Rate (per 100,000)",Crime Index,822.4
East Windsor,2015,Total Crime,"Rate (per 100,000)",Crime Index,3248.3
Eastford,2015,Total Crime,"Rate (per 100,000)",Crime Index,527.9
Easton,2015,Total Crime,"Rate (per 100,000)",Crime Index,313.3
Ellington,2015,Total Crime,"Rate (per 100,000)",Crime Index,499.5
Enfield,2015,Total Crime,"Rate (per 100,000)",Crime Index,1771.7
Essex,2015,Total Crime,"Rate (per 100,000)",Crime Index,393.9
Fairfield,2015,Total Crime,"Rate (per 100,000)",Crime Index,1603.9
Farmington,2015,Total Crime,"Rate (per 100,000)",Crime Index,2444.9
Franklin,2015,Total Crime,"Rate (per 100,000)",Crime Index,1344.4
Glastonbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,1107.7
Goshen,2015,Total Crime,"Rate (per 100,000)",Crime Index,387.2
Granby,2015,Total Crime,"Rate (per 100,000)",Crime Index,761.5
Greenwich,2015,Total Crime,"Rate (per 100,000)",Crime Index,680.4
Griswold,2015,Total Crime,"Rate (per 100,000)",Crime Index,728.8
Groton,2015,Total Crime,"Rate (per 100,000)",Crime Index,1683.8
Guilford,2015,Total Crime,"Rate (per 100,000)",Crime Index,966.9
Haddam,2015,Total Crime,"Rate (per 100,000)",Crime Index,596.8
Hamden,2015,Total Crime,"Rate (per 100,000)",Crime Index,2543.2
Hampton,2015,Total Crime,"Rate (per 100,000)",Crime Index,810.4
Hartford,2015,Total Crime,"Rate (per 100,000)",Crime Index,5377.3
Hartland,2015,Total Crime,"Rate (per 100,000)",Crime Index,377.2
Harwinton,2015,Total Crime,"Rate (per 100,000)",Crime Index,539.2
Hebron,2015,Total Crime,"Rate (per 100,000)",Crime Index,275.6
Kent,2015,Total Crime,"Rate (per 100,000)",Crime Index,431.6
Killingly,2015,Total Crime,"Rate (per 100,000)",Crime Index,893.2
Killingworth,2015,Total Crime,"Rate (per 100,000)",Crime Index,394.3
Lebanon,2015,Total Crime,"Rate (per 100,000)",Crime Index,590.7
Ledyard,2015,Total Crime,"Rate (per 100,000)",Crime Index,497.6
Lisbon,2015,Total Crime,"Rate (per 100,000)",Crime Index,1982.7
Litchfield,2015,Total Crime,"Rate (per 100,000)",Crime Index,798.8
Lyme,2015,Total Crime,"Rate (per 100,000)",Crime Index,752.9
Madison,2015,Total Crime,"Rate (per 100,000)",Crime Index,308.2
Manchester,2015,Total Crime,"Rate (per 100,000)",Crime Index,2909.4
Mansfield,2015,Total Crime,"Rate (per 100,000)",Crime Index,655
Marlborough,2015,Total Crime,"Rate (per 100,000)",Crime Index,415.6
Meriden,2015,Total Crime,"Rate (per 100,000)",Crime Index,2667.6
Middlebury,2015,Total Crime,"Rate (per 100,000)",Crime Index,956.3
Middlefield,2015,Total Crime,"Rate (per 100,000)",Crime Index,722.7
Middletown,2015,Total Crime,"Rate (per 100,000)",Crime Index,1737
Milford,2015,Total Crime,"Rate (per 100,000)",Crime Index,2513.1
Monroe,2015,Total Crime,"Rate (per 100,000)",Crime Index,621.4
Montville,2015,Total Crime,"Rate (per 100,000)",Crime Index,721.6
Morris,2015,Total Crime,"Rate (per 100,000)",Crime Index,783.5
Naugatuck,2015,Total Crime,"Rate (per 100,000)",Crime Index,1807
New Britain,2015,Total Crime,"Rate (per 100,000)",Crime Index,3139.1
New Canaan,2015,Total Crime,"Rate (per 100,000)",Crime Index,729.1
New Fairfield,2015,Total Crime,"Rate (per 100,000)",Crime Index,142.8
New Hartford,2015,Total Crime,"Rate (per 100,000)",Crime Index,483.3
New Haven,2015,Total Crime,"Rate (per 100,000)",Crime Index,4987.3
New London,2015,Total Crime,"Rate (per 100,000)",Crime Index,2939.2
New Milford,2015,Total Crime,"Rate (per 100,000)",Crime Index,1410.4
Newington,2015,Total Crime,"Rate (per 100,000)",Crime Index,2882.3
Newtown,2015,Total Crime,"Rate (per 100,000)",Crime Index,629.4
Norfolk,2015,Total Crime,"Rate (per 100,000)",Crime Index,514.9
North Branford,2015,Total Crime,"Rate (per 100,000)",Crime Index,1262.5
North Canaan,2015,Total Crime,"Rate (per 100,000)",Crime Index,991.5
North Haven,2015,Total Crime,"Rate (per 100,000)",Crime Index,2773.1
North Stonington,2015,Total Crime,"Rate (per 100,000)",Crime Index,475.4
Norwalk,2015,Total Crime,"Rate (per 100,000)",Crime Index,2141.9
Norwich,2015,Total Crime,"Rate (per 100,000)",Crime Index,1976.1
Old Lyme,2015,Total Crime,"Rate (per 100,000)",Crime Index,679.2
Old Saybrook,2015,Total Crime,"Rate (per 100,000)",Crime Index,1135.3
Orange,2015,Total Crime,"Rate (per 100,000)",Crime Index,2854.3
Oxford,2015,Total Crime,"Rate (per 100,000)",Crime Index,705.5
Plainfield,2015,Total Crime,"Rate (per 100,000)",Crime Index,714.2
Plainville,2015,Total Crime,"Rate (per 100,000)",Crime Index,2788
Plymouth,2015,Total Crime,"Rate (per 100,000)",Crime Index,1590.9
Pomfret,2015,Total Crime,"Rate (per 100,000)",Crime Index,349.8
Portland,2015,Total Crime,"Rate (per 100,000)",Crime Index,815.2
Preston,2015,Total Crime,"Rate (per 100,000)",Crime Index,647.9
Prospect,2015,Total Crime,"Rate (per 100,000)",Crime Index,1002.8
Putnam,2015,Total Crime,"Rate (per 100,000)",Crime Index,2003.2
Redding,2015,Total Crime,"Rate (per 100,000)",Crime Index,734.5
Ridgefield,2015,Total Crime,"Rate (per 100,000)",Crime Index,433.5
Rocky Hill,2015,Total Crime,"Rate (per 100,000)",Crime Index,1864.8
Roxbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,577.8
Salem,2015,Total Crime,"Rate (per 100,000)",Crime Index,467.4
Salisbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,334
Scotland,2015,Total Crime,"Rate (per 100,000)",Crime Index,610.5
Seymour,2015,Total Crime,"Rate (per 100,000)",Crime Index,1074.7
Sharon,2015,Total Crime,"Rate (per 100,000)",Crime Index,351.6
Shelton,2015,Total Crime,"Rate (per 100,000)",Crime Index,1135.9
Sherman,2015,Total Crime,"Rate (per 100,000)",Crime Index,173.5
Simsbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,567.8
Somers,2015,Total Crime,"Rate (per 100,000)",Crime Index,346.3
South Windsor,2015,Total Crime,"Rate (per 100,000)",Crime Index,1170.3
Southbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,956
Southington,2015,Total Crime,"Rate (per 100,000)",Crime Index,1827.6
Sprague,2015,Total Crime,"Rate (per 100,000)",Crime Index,734.4
Stafford,2015,Total Crime,"Rate (per 100,000)",Crime Index,470.1
Stamford,2015,Total Crime,"Rate (per 100,000)",Crime Index,1767.2
Sterling,2015,Total Crime,"Rate (per 100,000)",Crime Index,581.8
Stonington,2015,Total Crime,"Rate (per 100,000)",Crime Index,1526.6
Stratford,2015,Total Crime,"Rate (per 100,000)",Crime Index,2469
Suffield,2015,Total Crime,"Rate (per 100,000)",Crime Index,700.3
Thomaston,2015,Total Crime,"Rate (per 100,000)",Crime Index,1037.2
Thompson,2015,Total Crime,"Rate (per 100,000)",Crime Index,780.5
Tolland,2015,Total Crime,"Rate (per 100,000)",Crime Index,346.5
Torrington,2015,Total Crime,"Rate (per 100,000)",Crime Index,1954.8
Trumbull,2015,Total Crime,"Rate (per 100,000)",Crime Index,2450.4
Union,2015,Total Crime,"Rate (per 100,000)",Crime Index,549.5
Vernon,2015,Total Crime,"Rate (per 100,000)",Crime Index,1329.3
Voluntown,2015,Total Crime,"Rate (per 100,000)",Crime Index,525.7
Wallingford,2015,Total Crime,"Rate (per 100,000)",Crime Index,1431.6
Warren,2015,Total Crime,"Rate (per 100,000)",Crime Index,151.3
Washington,2015,Total Crime,"Rate (per 100,000)",Crime Index,554.4
Waterbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,4416
Waterford,2015,Total Crime,"Rate (per 100,000)",Crime Index,2319.2
Watertown,2015,Total Crime,"Rate (per 100,000)",Crime Index,2098.9
West Hartford,2015,Total Crime,"Rate (per 100,000)",Crime Index,2282.2
West Haven,2015,Total Crime,"Rate (per 100,000)",Crime Index,1867.1
Westbrook,2015,Total Crime,"Rate (per 100,000)",Crime Index,573.3
Weston,2015,Total Crime,"Rate (per 100,000)",Crime Index,236.4
Westport,2015,Total Crime,"Rate (per 100,000)",Crime Index,1039.4
Wethersfield,2015,Total Crime,"Rate (per 100,000)",Crime Index,1333.1
Willington,2015,Total Crime,"Rate (per 100,000)",Crime Index,525.6
Wilton,2015,Total Crime,"Rate (per 100,000)",Crime Index,414.5
Winchester,2015,Total Crime,"Rate (per 100,000)",Crime Index,2322.7
Windham,2015,Total Crime,"Rate (per 100,000)",Crime Index,1518.1
Windsor,2015,Total Crime,"Rate (per 100,000)",Crime Index,1616.8
Windsor Locks,2015,Total Crime,"Rate (per 100,000)",Crime Index,1528.9
Wolcott,2015,Total Crime,"Rate (per 100,000)",Crime Index,1640.7
Woodbridge,2015,Total Crime,"Rate (per 100,000)",Crime Index,1447.7
Woodbury,2015,Total Crime,"Rate (per 100,000)",Crime Index,350.8
Woodstock,2015,Total Crime,"Rate (per 100,000)",Crime Index,644.1
Andover,2016,Total Crime,"Rate (per 100,000)",Crime Index,125.3
Ansonia,2016,Total Crime,"Rate (per 100,000)",Crime Index,1845.9
Ashford,2016,Total Crime,"Rate (per 100,000)",Crime Index,441.1
Avon,2016,Total Crime,"Rate (per 100,000)",Crime Index,799.3
Barkhamsted,2016,Total Crime,"Rate (per 100,000)",Crime Index,490.2
Beacon Falls,2016,Total Crime,"Rate (per 100,000)",Crime Index,689.2
Berlin,2016,Total Crime,"Rate (per 100,000)",Crime Index,1801.8
Bethany,2016,Total Crime,"Rate (per 100,000)",Crime Index,679.6
Bethel,2016,Total Crime,"Rate (per 100,000)",Crime Index,868.9
Bethlehem,2016,Total Crime,"Rate (per 100,000)",Crime Index,472.7
Bloomfield,2016,Total Crime,"Rate (per 100,000)",Crime Index,2758.8
Bolton,2016,Total Crime,"Rate (per 100,000)",Crime Index,474.1
Bozrah,2016,Total Crime,"Rate (per 100,000)",Crime Index,1089.6
Branford,2016,Total Crime,"Rate (per 100,000)",Crime Index,1840.8
Bridgeport,2016,Total Crime,"Rate (per 100,000)",Crime Index,2981.5
Bridgewater,2016,Total Crime,"Rate (per 100,000)",Crime Index,416.9
Bristol,2016,Total Crime,"Rate (per 100,000)",Crime Index,1604.5
Brookfield,2016,Total Crime,"Rate (per 100,000)",Crime Index,844.2
Brooklyn,2016,Total Crime,"Rate (per 100,000)",Crime Index,623.3
Burlington,2016,Total Crime,"Rate (per 100,000)",Crime Index,185.9
Canaan,2016,Total Crime,"Rate (per 100,000)",Crime Index,529.1
Canterbury,2016,Total Crime,"Rate (per 100,000)",Crime Index,446
Canton,2016,Total Crime,"Rate (per 100,000)",Crime Index,1323.9
Chaplin,2016,Total Crime,"Rate (per 100,000)",Crime Index,423.4
Cheshire,2016,Total Crime,"Rate (per 100,000)",Crime Index,833.2
Chester,2016,Total Crime,"Rate (per 100,000)",Crime Index,330.5
Clinton,2016,Total Crime,"Rate (per 100,000)",Crime Index,2251.9
Colchester,2016,Total Crime,"Rate (per 100,000)",Crime Index,588.4
Colebrook,2016,Total Crime,"Rate (per 100,000)",Crime Index,452.5
Columbia,2016,Total Crime,"Rate (per 100,000)",Crime Index,402
Connecticut,2016,Total Crime,"Rate (per 100,000)",Crime Index,2004.1
Cornwall,2016,Total Crime,"Rate (per 100,000)",Crime Index,662.3
Coventry,2016,Total Crime,"Rate (per 100,000)",Crime Index,1075
Cromwell,2016,Total Crime,"Rate (per 100,000)",Crime Index,2794.2
Danbury,2016,Total Crime,"Rate (per 100,000)",Crime Index,1937
Darien,2016,Total Crime,"Rate (per 100,000)",Crime Index,1183.9
Deep River,2016,Total Crime,"Rate (per 100,000)",Crime Index,206.3
Derby,2016,Total Crime,"Rate (per 100,000)",Crime Index,2587.3
Durham,2016,Total Crime,"Rate (per 100,000)",Crime Index,358.9
East Granby,2016,Total Crime,"Rate (per 100,000)",Crime Index,1243.2
East Haddam,2016,Total Crime,"Rate (per 100,000)",Crime Index,719.1
East Hampton,2016,Total Crime,"Rate (per 100,000)",Crime Index,797.9
East Hartford,2016,Total Crime,"Rate (per 100,000)",Crime Index,2842
East Haven,2016,Total Crime,"Rate (per 100,000)",Crime Index,2332.1
East Lyme,2016,Total Crime,"Rate (per 100,000)",Crime Index,719.3
East Windsor,2016,Total Crime,"Rate (per 100,000)",Crime Index,2083.3
Eastford,2016,Total Crime,"Rate (per 100,000)",Crime Index,235.2
Easton,2016,Total Crime,"Rate (per 100,000)",Crime Index,536.4
Ellington,2016,Total Crime,"Rate (per 100,000)",Crime Index,596.3
Enfield,2016,Total Crime,"Rate (per 100,000)",Crime Index,1811.6
Essex,2016,Total Crime,"Rate (per 100,000)",Crime Index,248.6
Fairfield,2016,Total Crime,"Rate (per 100,000)",Crime Index,1727.1
Farmington,2016,Total Crime,"Rate (per 100,000)",Crime Index,2708.1
Franklin,2016,Total Crime,"Rate (per 100,000)",Crime Index,1554.4
Glastonbury,2016,Total Crime,"Rate (per 100,000)",Crime Index,1358
Goshen,2016,Total Crime,"Rate (per 100,000)",Crime Index,458.7
Granby,2016,Total Crime,"Rate (per 100,000)",Crime Index,763.2
Greenwich,2016,Total Crime,"Rate (per 100,000)",Crime Index,672.6
Griswold,2016,Total Crime,"Rate (per 100,000)",Crime Index,695.3
Groton,2016,Total Crime,"Rate (per 100,000)",Crime Index,1830.7
Guilford,2016,Total Crime,"Rate (per 100,000)",Crime Index,924.7
Haddam,2016,Total Crime,"Rate (per 100,000)",Crime Index,478.5
Hamden,2016,Total Crime,"Rate (per 100,000)",Crime Index,2850
Hampton,2016,Total Crime,"Rate (per 100,000)",Crime Index,324.9
Hartford,2016,Total Crime,"Rate (per 100,000)",Crime Index,5125.2
Hartland,2016,Total Crime,"Rate (per 100,000)",Crime Index,236.3
Harwinton,2016,Total Crime,"Rate (per 100,000)",Crime Index,522.4
Hebron,2016,Total Crime,"Rate (per 100,000)",Crime Index,265.2
Kent,2016,Total Crime,"Rate (per 100,000)",Crime Index,332.8
Killingly,2016,Total Crime,"Rate (per 100,000)",Crime Index,797
Killingworth,2016,Total Crime,"Rate (per 100,000)",Crime Index,268.7
Lebanon,2016,Total Crime,"Rate (per 100,000)",Crime Index,550.8
Ledyard,2016,Total Crime,"Rate (per 100,000)",Crime Index,595.9
Lisbon,2016,Total Crime,"Rate (per 100,000)",Crime Index,1753.6
Litchfield,2016,Total Crime,"Rate (per 100,000)",Crime Index,663.4
Lyme,2016,Total Crime,"Rate (per 100,000)",Crime Index,283
Madison,2016,Total Crime,"Rate (per 100,000)",Crime Index,447.5
Manchester,2016,Total Crime,"Rate (per 100,000)",Crime Index,2895.3
Mansfield,2016,Total Crime,"Rate (per 100,000)",Crime Index,569.3
Marlborough,2016,Total Crime,"Rate (per 100,000)",Crime Index,583.1
Meriden,2016,Total Crime,"Rate (per 100,000)",Crime Index,2603.6
Middlebury,2016,Total Crime,"Rate (per 100,000)",Crime Index,943.8
Middlefield,2016,Total Crime,"Rate (per 100,000)",Crime Index,384.8
Middletown,2016,Total Crime,"Rate (per 100,000)",Crime Index,2199.4
Milford,2016,Total Crime,"Rate (per 100,000)",Crime Index,2271.6
Monroe,2016,Total Crime,"Rate (per 100,000)",Crime Index,425.1
Montville,2016,Total Crime,"Rate (per 100,000)",Crime Index,677.1
Morris,2016,Total Crime,"Rate (per 100,000)",Crime Index,206.7
Naugatuck,2016,Total Crime,"Rate (per 100,000)",Crime Index,1786.6
New Britain,2016,Total Crime,"Rate (per 100,000)",Crime Index,3106.4
New Canaan,2016,Total Crime,"Rate (per 100,000)",Crime Index,667
New Fairfield,2016,Total Crime,"Rate (per 100,000)",Crime Index,163.6
New Hartford,2016,Total Crime,"Rate (per 100,000)",Crime Index,437.6
New Haven,2016,Total Crime,"Rate (per 100,000)",Crime Index,5179.6
New London,2016,Total Crime,"Rate (per 100,000)",Crime Index,3475.9
New Milford,2016,Total Crime,"Rate (per 100,000)",Crime Index,1196.2
Newington,2016,Total Crime,"Rate (per 100,000)",Crime Index,2635.8
Newtown,2016,Total Crime,"Rate (per 100,000)",Crime Index,330.6
Norfolk,2016,Total Crime,"Rate (per 100,000)",Crime Index,573.4
North Branford,2016,Total Crime,"Rate (per 100,000)",Crime Index,902.9
North Canaan,2016,Total Crime,"Rate (per 100,000)",Crime Index,624.6
North Haven,2016,Total Crime,"Rate (per 100,000)",Crime Index,2494.5
North Stonington,2016,Total Crime,"Rate (per 100,000)",Crime Index,609.9
Norwalk,2016,Total Crime,"Rate (per 100,000)",Crime Index,1979.5
Norwich,2016,Total Crime,"Rate (per 100,000)",Crime Index,1954.3
Old Lyme,2016,Total Crime,"Rate (per 100,000)",Crime Index,757.9
Old Saybrook,2016,Total Crime,"Rate (per 100,000)",Crime Index,1092
Orange,2016,Total Crime,"Rate (per 100,000)",Crime Index,2523
Oxford,2016,Total Crime,"Rate (per 100,000)",Crime Index,968.7
Plainfield,2016,Total Crime,"Rate (per 100,000)",Crime Index,501.1
Plainville,2016,Total Crime,"Rate (per 100,000)",Crime Index,2860.3
Plymouth,2016,Total Crime,"Rate (per 100,000)",Crime Index,1103.9
Pomfret,2016,Total Crime,"Rate (per 100,000)",Crime Index,225.4
Portland,2016,Total Crime,"Rate (per 100,000)",Crime Index,958.7
Preston,2016,Total Crime,"Rate (per 100,000)",Crime Index,527.6
Prospect,2016,Total Crime,"Rate (per 100,000)",Crime Index,764.8
Putnam,2016,Total Crime,"Rate (per 100,000)",Crime Index,2166.3
Redding,2016,Total Crime,"Rate (per 100,000)",Crime Index,448.6
Ridgefield,2016,Total Crime,"Rate (per 100,000)",Crime Index,297.8
Rocky Hill,2016,Total Crime,"Rate (per 100,000)",Crime Index,1577.9
Roxbury,2016,Total Crime,"Rate (per 100,000)",Crime Index,534.5
Salem,2016,Total Crime,"Rate (per 100,000)",Crime Index,862.9
Salisbury,2016,Total Crime,"Rate (per 100,000)",Crime Index,478.4
Scotland,2016,Total Crime,"Rate (per 100,000)",Crime Index,428.4
Seymour,2016,Total Crime,"Rate (per 100,000)",Crime Index,1138.8
Sharon,2016,Total Crime,"Rate (per 100,000)",Crime Index,640.6
Shelton,2016,Total Crime,"Rate (per 100,000)",Crime Index,1161
Sherman,2016,Total Crime,"Rate (per 100,000)",Crime Index,49.7
Simsbury,2016,Total Crime,"Rate (per 100,000)",Crime Index,708.3
Somers,2016,Total Crime,"Rate (per 100,000)",Crime Index,474.9
South Windsor,2016,Total Crime,"Rate (per 100,000)",Crime Index,1399
Southbury,2016,Total Crime,"Rate (per 100,000)",Crime Index,655.9
Southington,2016,Total Crime,"Rate (per 100,000)",Crime Index,2404.2
Sprague,2016,Total Crime,"Rate (per 100,000)",Crime Index,832
Stafford,2016,Total Crime,"Rate (per 100,000)",Crime Index,454.4
Stamford,2016,Total Crime,"Rate (per 100,000)",Crime Index,1980.9
Sterling,2016,Total Crime,"Rate (per 100,000)",Crime Index,583.2
Stonington,2016,Total Crime,"Rate (per 100,000)",Crime Index,1434.5
Stratford,2016,Total Crime,"Rate (per 100,000)",Crime Index,2339.6
Suffield,2016,Total Crime,"Rate (per 100,000)",Crime Index,744.1
Thomaston,2016,Total Crime,"Rate (per 100,000)",Crime Index,2053.8
Thompson,2016,Total Crime,"Rate (per 100,000)",Crime Index,332.2
Tolland,2016,Total Crime,"Rate (per 100,000)",Crime Index,463.1
Torrington,2016,Total Crime,"Rate (per 100,000)",Crime Index,1737.7
Trumbull,2016,Total Crime,"Rate (per 100,000)",Crime Index,2611.6
Union,2016,Total Crime,"Rate (per 100,000)",Crime Index,413.2
Vernon,2016,Total Crime,"Rate (per 100,000)",Crime Index,1234
Voluntown,2016,Total Crime,"Rate (per 100,000)",Crime Index,414
Wallingford,2016,Total Crime,"Rate (per 100,000)",Crime Index,1503.5
Warren,2016,Total Crime,"Rate (per 100,000)",Crime Index,454.9
Washington,2016,Total Crime,"Rate (per 100,000)",Crime Index,608.6
Waterbury,2016,Total Crime,"Rate (per 100,000)",Crime Index,4225.8
Waterford,2016,Total Crime,"Rate (per 100,000)",Crime Index,2404.1
Watertown,2016,Total Crime,"Rate (per 100,000)",Crime Index,2002.8
West Hartford,2016,Total Crime,"Rate (per 100,000)",Crime Index,2438.6
West Haven,2016,Total Crime,"Rate (per 100,000)",Crime Index,2151.2
Westbrook,2016,Total Crime,"Rate (per 100,000)",Crime Index,589.7
Weston,2016,Total Crime,"Rate (per 100,000)",Crime Index,142.2
Westport,2016,Total Crime,"Rate (per 100,000)",Crime Index,949.5
Wethersfield,2016,Total Crime,"Rate (per 100,000)",Crime Index,467.1
Willington,2016,Total Crime,"Rate (per 100,000)",Crime Index,478.9
Wilton,2016,Total Crime,"Rate (per 100,000)",Crime Index,388.5
Winchester,2016,Total Crime,"Rate (per 100,000)",Crime Index,1775
Windham,2016,Total Crime,"Rate (per 100,000)",Crime Index,1223.3
Windsor,2016,Total Crime,"Rate (per 100,000)",Crime Index,1937.2
Windsor Locks,2016,Total Crime,"Rate (per 100,000)",Crime Index,1619.3
Wolcott,2016,Total Crime,"Rate (per 100,000)",Crime Index,1832.1
Woodbridge,2016,Total Crime,"Rate (per 100,000)",Crime Index,1419.3
Woodbury,2016,Total Crime,"Rate (per 100,000)",Crime Index,382.6
Woodstock,2016,Total Crime,"Rate (per 100,000)",Crime Index,224
Andover,2017,Total Crime,"Rate (per 100,000)",Crime Index,250.2
Ansonia,2017,Total Crime,"Rate (per 100,000)",Crime Index,1935.5
Ashford,2017,Total Crime,"Rate (per 100,000)",Crime Index,695.6
Avon,2017,Total Crime,"Rate (per 100,000)",Crime Index,1008.2
Barkhamsted,2017,Total Crime,"Rate (per 100,000)",Crime Index,326.4
Beacon Falls,2017,Total Crime,"Rate (per 100,000)",Crime Index,959.8
Berlin,2017,Total Crime,"Rate (per 100,000)",Crime Index,2232.1
Bethany,2017,Total Crime,"Rate (per 100,000)",Crime Index,565.6
Bethel,2017,Total Crime,"Rate (per 100,000)",Crime Index,951.8
Bethlehem,2017,Total Crime,"Rate (per 100,000)",Crime Index,305.5
Bloomfield,2017,Total Crime,"Rate (per 100,000)",Crime Index,3007.1
Bolton,2017,Total Crime,"Rate (per 100,000)",Crime Index,359.8
Bozrah,2017,Total Crime,"Rate (per 100,000)",Crime Index,604.6
Branford,2017,Total Crime,"Rate (per 100,000)",Crime Index,1904.5
Bridgeport,2017,Total Crime,"Rate (per 100,000)",Crime Index,3221.1
Bridgewater,2017,Total Crime,"Rate (per 100,000)",Crime Index,624.3
Bristol,2017,Total Crime,"Rate (per 100,000)",Crime Index,1724.1
Brookfield,2017,Total Crime,"Rate (per 100,000)",Crime Index,758.1
Brooklyn,2017,Total Crime,"Rate (per 100,000)",Crime Index,582.7
Burlington,2017,Total Crime,"Rate (per 100,000)",Crime Index,278.4
Canaan,2017,Total Crime,"Rate (per 100,000)",Crime Index,880.3
Canterbury,2017,Total Crime,"Rate (per 100,000)",Crime Index,728.7
Canton,2017,Total Crime,"Rate (per 100,000)",Crime Index,730.9
Chaplin,2017,Total Crime,"Rate (per 100,000)",Crime Index,465.1
Cheshire,2017,Total Crime,"Rate (per 100,000)",Crime Index,592.4
Chester,2017,Total Crime,"Rate (per 100,000)",Crime Index,152.3
Clinton,2017,Total Crime,"Rate (per 100,000)",Crime Index,2437.4
Colchester,2017,Total Crime,"Rate (per 100,000)",Crime Index,496.2
Colebrook,2017,Total Crime,"Rate (per 100,000)",Crime Index,322.8
Columbia,2017,Total Crime,"Rate (per 100,000)",Crime Index,650
Connecticut,2017,Total Crime,"Rate (per 100,000)",Crime Index,2005.2
Cornwall,2017,Total Crime,"Rate (per 100,000)",Crime Index,396.8
Coventry,2017,Total Crime,"Rate (per 100,000)",Crime Index,908.3
Cromwell,2017,Total Crime,"Rate (per 100,000)",Crime Index,2015.2
Danbury,2017,Total Crime,"Rate (per 100,000)",Crime Index,1611.9
Darien,2017,Total Crime,"Rate (per 100,000)",Crime Index,1361.5
Deep River,2017,Total Crime,"Rate (per 100,000)",Crime Index,123.6
Derby,2017,Total Crime,"Rate (per 100,000)",Crime Index,2668.1
Durham,2017,Total Crime,"Rate (per 100,000)",Crime Index,530.4
East Granby,2017,Total Crime,"Rate (per 100,000)",Crime Index,660.8
East Haddam,2017,Total Crime,"Rate (per 100,000)",Crime Index,399
East Hampton,2017,Total Crime,"Rate (per 100,000)",Crime Index,469.5
East Hartford,2017,Total Crime,"Rate (per 100,000)",Crime Index,2667.5
East Haven,2017,Total Crime,"Rate (per 100,000)",Crime Index,2184
East Lyme,2017,Total Crime,"Rate (per 100,000)",Crime Index,760.3
East Windsor,2017,Total Crime,"Rate (per 100,000)",Crime Index,3057.9
Eastford,2017,Total Crime,"Rate (per 100,000)",Crime Index,352.3
Easton,2017,Total Crime,"Rate (per 100,000)",Crime Index,130.7
Ellington,2017,Total Crime,"Rate (per 100,000)",Crime Index,551.4
Enfield,2017,Total Crime,"Rate (per 100,000)",Crime Index,1840.6
Essex,2017,Total Crime,"Rate (per 100,000)",Crime Index,321.2
Fairfield,2017,Total Crime,"Rate (per 100,000)",Crime Index,1695.2
Farmington,2017,Total Crime,"Rate (per 100,000)",Crime Index,2242.2
Franklin,2017,Total Crime,"Rate (per 100,000)",Crime Index,879.5
Glastonbury,2017,Total Crime,"Rate (per 100,000)",Crime Index,1609.4
Goshen,2017,Total Crime,"Rate (per 100,000)",Crime Index,563.8
Granby,2017,Total Crime,"Rate (per 100,000)",Crime Index,835.6
Greenwich,2017,Total Crime,"Rate (per 100,000)",Crime Index,782.1
Griswold,2017,Total Crime,"Rate (per 100,000)",Crime Index,606.4
Groton,2017,Total Crime,"Rate (per 100,000)",Crime Index,1663.9
Guilford,2017,Total Crime,"Rate (per 100,000)",Crime Index,1198.7
Haddam,2017,Total Crime,"Rate (per 100,000)",Crime Index,451.3
Hamden,2017,Total Crime,"Rate (per 100,000)",Crime Index,2271.8
